target,text,processed_text_str
0,"['just', 'got', 'ur', 'newsletter', 'fare', 'really', 'unbelievable', 'shame', 'already', 'booked', 'paid', 'mine']",just got ur newsletter fare really unbelievable shame already booked paid mine
0,"['missin', 'boo']",missin boo
0,['too'],too
0,"['damn', 'dont', 'chalk', 'chalkboard', 'useless']",damn dont chalk chalkboard useless
0,"['blast', 'getty', 'villa', 'but', 'hate', 'shes', 'sore', 'throat', 'day', 'just', 'getting', 'worse', 'too']",blast getty villa but hate shes sore throat day just getting worse too
0,"['hey', 'missed', 'ya', 'meeting', 'sup', 'mama']",hey missed ya meeting sup mama
0,"['tummy', 'hurt', 'wonder', 'hypnosis', 'anything', 'working', 'get', 'stop', 'smoking']",tummy hurt wonder hypnosis anything working get stop smoking
0,"['always', 'fat', 'one']",always fat one
0,"['sorry', 'babe', 'fam', 'annoys', 'too', 'thankfully', 'theyre', 'asleep', 'right', 'muahaha', 'evil', 'laugh']",sorry babe fam annoys too thankfully theyre asleep right muahaha evil laugh
0,"['should', 'paid', 'attention', 'covered', 'photoshop', 'webpage', 'design', 'class', 'undergrad']",should paid attention covered photoshop webpage design class undergrad
0,"['wednesday', 'bday', 'dont', 'know']",wednesday bday dont know
0,"['poor', 'cameron', 'hill']",poor cameron hill
0,"['pray', 'please', 'ex', 'threatening', 'start', 'sh', 'myour', 'baby', 'st', 'birthday', 'party', 'jerk', 'still', 'headache']",pray please ex threatening start sh myour baby st birthday party jerk still headache
0,"['hmm', 'really', 'enjoy', 'problem', 'too', 'constant', 'should', 'think', 'thing', 'find', 'someone', 'ulike']",hmm really enjoy problem too constant should think thing find someone ulike
0,"['strider', 'sick', 'little', 'puppy']",strider sick little puppy
0,"['ryleegracewana', 'go', 'steves', 'party', 'not', 'sadly', 'since', 'easter', 'wnt', 'b', 'able', 'much', 'but', 'ohh', 'well']",ryleegracewana go steves party not sadly since easter wnt b able much but ohh well
0,"['hey', 'actually', 'one', 'bracket', 'pool', 'too', 'bad', 'wasnt', 'one', 'money']",hey actually one bracket pool too bad wasnt one money
0,"['dont', 'follow', 'either', 'work']",dont follow either work
0,"['bad', 'nite', 'favorite', 'team', 'astros', 'spartan', 'lose', 'nite', 'tw', 'good']",bad nite favorite team astros spartan lose nite tw good
